0,0.68823,0.20733,0.77136,0.31764,0.65184,0.40771,0.56872,0.29739
0,0.86974,0.3699,0.95481,0.38368,0.94721,0.43057,0.86215,0.41679
0,0.65107,0.1499,0.719,0.18086,0.69029,0.24385,0.62237,0.21289
0,0.90078,0.0,0.9293,0.0,0.9293,0.09594,0.90078,0.09594
0,0.94801,0.36504,1.0,0.36504,1.0,0.43922,0.94801,0.43922
0,0.68447,0.23973,0.72363,0.19238,0.78573,0.24375,0.74656,0.29109
0,0.90594,0.0,0.97508,0.0,0.97508,0.02078,0.90594,0.02078
0,0.95144,0.00498,0.97423,0.01809,0.9279,0.09865,0.90511,0.08554
0,0.92777,0.31692,0.9506,0.3374,0.9075,0.38543,0.88468,0.36495
0,0.92043,0.0148,0.9452,0.0148,0.9452,0.05324,0.92043,0.05324
0,0.77154,0.25774,0.91131,0.36537,0.84088,0.45683,0.70111,0.3492
0,0.82454,0.2538,0.83069,0.28324,0.78358,0.29308,0.77743,0.26364
